id,magnitude,location,date,longitude,latitude,depth
cent19020124232700000,7.2,"New Britain region, Papua New Guinea",1/25/1902,150,-8,
official19020201000000000,,"Near Bethel, Alaska",2/1/1902,-161.8,60.8,
official19020419022400000,7.5,"Near Quetzaltenango, Guatemala",4/19/1902,-91.5,14.93,
cent19020502113100000,7,"Off the east coast of Honshu, Japan",5/2/1902,144,39,35
ushis402,5.4,"South of Elmira, California",5/20/1902,-121.9,38.3,
se19020529073000000,3.5,"Near Chattanooga, Tennessee",5/29/1902,-85.3,35.1,
ushis403,4.5,"Near Winchester, California",6/11/1902,-117.1,33.7,
ushis404,5.8,"Near Los Alamos, California",7/28/1902,-120.4,34.8,
ushis405,4.4,"Near Battle Creek, Nebraska",7/29/1902,-97.6,42,
official19020729010800000,,"Near Los Alamos, California",7/29/1902,-120.4,34.8,
ushis407,,"Near Los Alamos, California",8/1/1902,-120.4,34.6,
official19020822030000000,7.7,"About 50 km NNE of Kashgar, Xinjiang, China",8/22/1902,76.2,39.8,30
cent19020922014600000,7.5,Northern Mariana Islands,9/22/1902,146,18,
official19020923201800000,7.8,"Central Chiapas, Mexico",9/24/1902,-92.5,16.5,
cent19021006091500000,7.2,"Hindu Kush region, Afghanistan",10/6/1902,70.5,36.5,200
se19021018220000000,3.5,"Near Chattanooga, Tennessee",10/19/1902,-85.3,35,
ushis408,6.3,"Near Pine Valley, Utah",11/18/1902,-113.5,37.4,
ushis409,4.8,"Near Pine Valley, Utah",12/5/1902,-113.5,37.4,
official19021206000000000,,"Near Holy Cross, Alaska",12/6/1902,-160,62,
ushis410,,"Near Los Alamos, California",12/13/1902,-120.4,34.8,
cent19021212231000000,7.1,"Baja California, Mexico",12/13/1902,-114,29,
cent19030104050700000,8,Tonga,1/4/1903,-175,-20,400
official19030114014800000,7.4,"Near the coast of Oaxaca, Mexico",1/14/1903,-95,15,
ushis411,7,"153 km SE of Adak, Alaska",1/18/1903,-175.16,50.85,
ushis412,4.1,"Near Savannah, Georgia",1/24/1903,-81.1,32.099,
official19030124052700000,6.6,"Colorado River Delta area, Baja California, Mexico",1/24/1903,-115,31.5,
cent19030201093400000,7.1,Western Mongolia,2/1/1903,98,48,
ushis413,6.8,"Near Islands, Aleutian Islands, Alaska",2/6/1903,175,52,
official19030209002100000,4.4,"Near Carbondale, Illinois",2/9/1903,-89.17,37.71,
cent19030227004300000,7.3,"South of Java, Indonesia",2/27/1903,106,-8,
ushis19030301000000000,,"Near Valdez, Alaska",3/1/1903,-146,61,
official19030310150000000,,"Yakutat Bay area, Alaska",3/10/1903,-140,60,
uw19030314023000000,4.9,"Near Kirkland, Washington",3/14/1903,-122.2,47.7,
ushis415,,"Near Helena, Montana",3/16/1903,-112,46.6,
eqh19030424123000000,3.3,"Near Georgetown, Massachusetts",4/24/1903,-71,42.7,
cent19030429035900000,7.1,Tonga,4/29/1903,-175,-20,
cent19030513063400000,7,Vanuatu,5/13/1903,168,-17,
official19030602131700000,6.9,"Kuskokwim River Basin, Southwestern Alaska",6/2/1903,-157.72,61.78,
ushis417,,"Near Valdez, Alaska",6/3/1903,-146,61,
cdmg19030611131200000,6.1,"Near San Jose, California",6/11/1903,-121.8,37.2,
official19030713214000000,,"Near Valdez, Alaska",7/14/1903,-146,61,
ushis419,4.5,"Near Willows, California",7/25/1903,-122,39.5,
ushis420,,"Near Dry Bay, Alaska",7/26/1903,-138,59,
official19030727101500000,,"Near Cidra, Puerto Rico",7/27/1903,-66.2,18.2,
official19030727133000000,,"Near Cidra, Puerto Rico",7/27/1903,-66.2,18.2,
ushis421,6.2,"Near San Jose, California",8/3/1903,-121.8,37.3,
official19030811043335000,7.9,Southern Greece,8/11/1903,23,36,80
official19030909075500000,,"Near Estes Park, Colorado",9/9/1903,-105.4,40.3,
official19030910140000000,,"Yakutat Bay area, Alaska",9/10/1903,-140,60,
ushis422,4.6,"New Madrid, Missouri region",11/5/1903,-89.5,36.5,
official19031104191400000,4.7,"New Madrid, Missouri region",11/5/1903,-89.58,36.59,
eqh19031127092000000,4.3,"New Madrid, Missouri region",11/27/1903,-89.5,36.5,
eqh19031225123000000,3.5,"Near Ogdensburg, New York",12/25/1903,-75.5,44.7,
ushis424,,"Los Angeles Urban Area, California",12/26/1903,-118,34,
cent19031228025600000,7.1,"Mindanao, Philippines",12/28/1903,127,7,
snm19040120021000000,,"Near Socorro, New Mexico",1/20/1904,-107.05,33.95,
snm19040120090000000,,"Near Socorro, New Mexico",1/20/1904,-107.1,34.1,
iscgemsup16957810,7.2,"45 km SW of Quebrada de Piedra, Panama",1/20/1904,-81.98,7.808,10
snm19040130123000000,,"Near Socorro, New Mexico",1/30/1904,-107.05,34.1,
snm19040130140000000,,"Near Socorro, New Mexico",1/30/1904,-107,34,
snm19040130141500000,,"Near Socorro, New Mexico",1/30/1904,-107,34,
snm19040222060000000,,"Near Socorro, New Mexico",2/22/1904,-107,34,
eqh19040305003000000,4,Eastern Tennessee,3/5/1904,-83.5,35.7,
snm19040309073000000,,"Near Socorro, New Mexico",3/9/1904,-107,34,
uw19040317041800000,5.3,"Eastern Olympic Peninsula, Washington",3/17/1904,-123,47.8,
iscgemsup602790124,,"89 km SE of Nemuro, Japan",3/18/1904,146.265,42.701,15
iscgemsup16957812,7,"86 km NW of La Serena, Chile",3/19/1904,-71.753,-29.262,20
ushis426,5.7,"Passamaquoddy Bay area, Maine",3/21/1904,-67.2,45,
wes19040321110000000,,"Passamaquoddy Bay area, Maine",3/21/1904,-67.2,45,
iscgem610326271,6.84,"6 km W of Stara Kresna, Bulgaria",4/4/1904,23.108,41.802,15
iscgem16957813,7.02,"7 km SE of Stara Kresna, Bulgaria",4/4/1904,23.249,41.758,15
ushis427,5.3,"Island of Hawai`i, Hawaii",4/5/1904,-155,19.25,
iscgemsup610548582,,"225 km N of Shi Yomi, India",4/5/1904,94.199,30.559,15
iscgemsup610548583,,"4 km NW of Ivankovci, North Macedonia",4/10/1904,21.787,41.886,15
iscgemsup610548584,,south of the Aleutian Islands,4/13/1904,-175.615,48.846,15
ushis428,4.5,"9 km S of Redding, California",4/16/1904,-122.4,40.5,
iscgemsup16957815,7,"121 km ESE of Labuha, Indonesia",5/1/1904,128.47,-1.09,35
ushis429,5.63,"Maui region, Hawaii",6/5/1904,-156,21,
iscgemsup914301,7.4,"164 km NNE of Ama, Japan",6/7/1904,133.497,37.542,350
iscgemsup610548586,6.1,"162 km ESE of Ozernovskiy, Russia",6/24/1904,158.692,51.009,35
iscgem16957820,7.5,"274 km SE of Petropavlovsk-Kamchatsky, Russia",6/25/1904,161.638,51.424,15
iscgem16957819,7.7,"115 km ESE of Petropavlovsk-Kamchatsky, Russia",6/26/1904,160.277,52.763,30
iscgemsup610548587,6.2,"155 km E of Petropavlovsk-Kamchatsky, Russia",6/26/1904,160.923,52.912,35
iscgemsup16957821,7.2,"143 km E of Petropavlovsk-Kamchatsky, Russia",6/27/1904,160.734,53.325,35
iscgemsup600208131,,"168 km NNE of Rengasdengklok, Indonesia",7/23/1904,107.684,-4.69,600
iscgemsup16957822,6.7,"97 km SE of Mil’kovo, Russia",7/24/1904,159.607,54.031,15
ushis430,4.5,"Southwest of Woodland, California",7/30/1904,-122,38.5,
eqh19040804030000000,,Southwestern Montana,8/4/1904,-111.8,45.5,
iscgemsup16957823,6.9,"144 km SE of Waipawa, New Zealand",8/9/1904,176.917,-42.185,30
iscgemsup610548588,6.1,"4 km SE of Megálo Chorió, Greece",8/11/1904,27.011,37.426,15
iscgemsup610548589,,"104 km N of Bima, Indonesia",8/18/1904,118.787,-7.519,15
iscgemsup914305,7.1,"61 km ESE of Nishinoomote, Japan",8/25/1904,131.562,30.468,20
iscgemsup16957825,,"36 km E of Cantwell, Alaska",8/28/1904,-148.231,63.376,15
official19040827215611000,7.3,Central Alaska,8/28/1904,-153.12,63.79,
iscgem16957826,7.09,"150 km WNW of Kangding, China",8/30/1904,100.608,30.684,15
snm19040906180000000,,"Near Socorro, New Mexico",9/7/1904,-107,34,
iscgemsup611451490,,"165 km N of Gorontalo, Indonesia",9/8/1904,123.027,2.03,35
iscgemsup16957829,7,Carlsberg Ridge,10/3/1904,56.977,10.642,10
iscgemsup610326280,5.4,Near the coast of Sweden,10/23/1904,10.788,58.218,10
se19041028040600000,3.8,"Between Meade and Dodge City, Kansas",10/28/1904,-100.2,37.5,
se19041028040900000,3.1,"Between Meade and Dodge City, Kansas",10/28/1904,-100.2,37.5,
iscgemsup610326281,,"47 km SW of Sabzevar, Iran",11/9/1904,57.272,35.941,15
iscgemsup600208133,6.49,"208 km S of Cambutal, Panama",12/2/1904,-80.533,5.384,15
official19041208000000000,,"Near Holy Cross, Alaska",12/8/1904,-150,62,
iscgemsup610548593,6.72,"210 km WNW of Valparaíso, Chile",12/12/1904,-73.706,-32.312,10
iscgem16957832,7.29,"53 km SSE of Quepos, Costa Rica",12/20/1904,-84.042,8.962,10
ushis432,5,"30 km ENE of Bakersfield, California",1/6/1905,-118.7,35.5,
iscgemsup610326282,6.23,southern Iran,1/9/1905,55.433,26.71,15
iscgemsup16957833,7.42,"177 km SW of Kavieng, Papua New Guinea",1/13/1905,149.551,-3.586,15
iscgemsup610548594,6.51,"6 km N of Tríkeri, Greece",1/20/1905,23.085,39.156,15
iscgemsup611451667,6.74,"18 km WSW of Nicoya, Costa Rica",1/21/1905,-85.608,10.082,20
iscgemsup16957834,7.8,"160 km W of Gorontalo, Indonesia",1/22/1905,121.622,0.61,90
eqh19050127000000000,,"Near Gadsden, Alabama",1/27/1905,-86,34,
official19050206172000000,,"Near Valdez, Alaska",2/7/1905,-146,61,
iscgemsup610548595,7,New Caledonia,2/13/1905,162.523,-17.221,15
iscgem16957835,7.59,"5 km WNW of Adak, Alaska",2/14/1905,-176.702,51.89,35
iscgem16957836,7.26,"62 km S of Bhamo, Myanmar",2/17/1905,97.17,23.689,15
iscgem16957838,7.33,"207 km E of Sola, Vanuatu",2/19/1905,169.457,-14.123,15
iscgemsup16957839,6.9,"15 km WSW of Pangai, Tonga",2/28/1905,-174.492,-19.872,35
iscgem16957841,6.96,"170 km SE of Kimbe, Papua New Guinea",3/4/1905,151.225,-6.639,15
iscgem16957840,7.01,"152 km NW of Kimbe, Papua New Guinea",3/5/1905,149.105,-4.635,15
se19050314043000000,3.4,"Near Marinette, Wisconsin",3/14/1905,-87.7,45,
iscgemsup16957842,,"84 km SE of Kyzyl-Eshme, Kyrgyzstan",3/14/1905,72.98,39.035,15
iscgemsup16957844,7.36,south of Tonga,3/19/1905,-173.399,-24.363,15
iscgem16957847,7.18,"238 km WSW of Adak, Alaska",3/22/1905,-179.859,51.145,35
iscgem610548597,5.44,"15 km NW of Bogomila, North Macedonia",4/4/1905,21.369,41.706,15
iscgem16957848,7.9,"The 1905 Kangra, India Earthquake",4/4/1905,76.916,32.597,20
iscgem610326404,5.7,"9 km E of Filiátes, Greece",4/4/1905,20.418,39.605,15
iscgemsup610548598,5.38,"22 km WNW of Orikum, Albania",4/4/1905,19.213,40.365,15
eqh19050413163000000,4,"Near Keokuk, Iowa",4/14/1905,-91.4,40.4,
iscgemsup16957849,6.81,south of Tonga,4/19/1905,-173.362,-26.537,15
iscgem610548599,6.56,"139 km ESE of Lakatoro, Vanuatu",4/25/1905,168.676,-16.431,15
iscgemsup16957850,6.66,central Peru,4/27/1905,-70.938,-12.082,35
iscgem610326285,5.3,"1 km NNW of Martigny-Combe, Switzerland",4/29/1905,7.04,46.094,15
official19050504023700000,6.2,"Kilauea South Flank, Hawaii",5/4/1905,-155.02,19.35,
iscgemsup610548601,6.97,"166 km WSW of Corral del Risco (Punta de Mita), Mexico",5/9/1905,-107.078,20.462,10
iscgemsup610548602,6.78,"Volcano Islands, Japan region",5/12/1905,143.332,25.967,15
iscgem16957851,7.15,"99 km WNW of Kavieng, Papua New Guinea",5/18/1905,149.949,-2.282,15
iscgem610548603,5.62,"5 km NW of Kelkit, Turkey",5/20/1905,39.397,40.162,15
cdmg19050526025000000,6.1,"Northwest of Huron, California",5/26/1905,-120.6,36.5,
iscgem610326286,6.55,"9 km E of Stari Bar, Montenegro",6/1/1905,19.248,42.092,15
iscgem610326405,5.59,"7 km NE of Stari Bar, Montenegro",6/2/1905,19.205,42.144,15
iscgem16957852,6.91,"31 km SSW of Hikari, Japan",6/2/1905,131.759,33.715,60
iscgemsup610326288,5.93,Montenegro-Albania border region,6/3/1905,19.411,42.124,15
iscgem610548605,6.69,"106 km ESE of Kirakira, Solomon Islands",6/9/1905,162.871,-10.646,15
iscgemsup610548606,,Vanuatu region,6/12/1905,174.786,-19.899,10
iscgemsup16957854,6.65,southeast of the Loyalty Islands,6/14/1905,173.442,-24.075,35
iscgemsup610326290,,"18 km ENE of Zaranj, Afghanistan",6/19/1905,62.052,30.994,15
iscgem914292,7.67,"217 km ESE of Kamaishi, Japan",7/7/1905,144.119,38.417,15
iscgem16957859,7.95,"The 1905 Tsetserleg, Mongolia Earthquake",7/9/1905,98.483,49.709,15
iscgem16957861,6.9,"80 km ESE of Kungurtug, Russia",7/11/1905,98.5,50.24,15
iscgemsup16957860,7.2,Mariana Islands region,7/11/1905,143.894,21.572,200
iscgemsup610548607,6.27,"79 km SW of Hay River, Canada",7/14/1905,-116.982,60.403,15
iscgem16957862,6.86,"76 km W of Mörön, Mongolia",7/15/1905,99.124,49.77,15
wes19050715101000000,4.5,"Near Sabattus, Maine",7/15/1905,-70,44.2,
ushis437,,"Near San Bernardino, California",7/16/1905,-117.3,34.1,
iscgemsup610548608,6.06,"25 km SSE of Alburquerque, Philippines",7/17/1905,124.03,9.386,35
iscgem610548609,6.72,southeast of the Loyalty Islands,7/17/1905,171.862,-23.039,35
iscgem16957865,8.33,"The 1905 Bulnay (Bolnai), Mongolia Earthquake",7/23/1905,96.843,49.292,15
iscgem16957863,6.19,"126 km SE of Erzin, Russia",7/24/1905,96.215,49.35,10
ushis438,4.5,"Near Calumet, Michigan",7/27/1905,-88.45,47.24,
iscgemsup610548610,,"21 km NE of Luklukan, Philippines",7/28/1905,122.828,14.485,15
iscgem610326408,6.19,"4 km ESE of Rrëshen, Albania",8/4/1905,19.925,41.743,15
iscgemsup610326409,,"4 km ENE of Vukatanë, Albania",8/7/1905,19.6,42.05,15
iscgemsup610548611,5.35,"4 km NE of Lezhë, Albania",8/13/1905,19.689,41.812,15
iscgemsup610326410,4.9,"1 km WNW of Cranves-Sales, France",8/13/1905,6.287,46.193,15
official19050822050800000,4.6,"Ste. Genevieve Fault Zone, Missouri",8/22/1905,-89.62,37.56,
iscgemsup914296,6.6,"5 km SE of Namyang, North Korea",8/25/1905,129.907,42.921,470
iscgemsup610326411,5.21,southern Italy,8/26/1905,13.776,41.981,15
official19050830104200000,3.3,"Near Portsmouth, New Hampshire",8/30/1905,-70.8,43.1,
iscgemsup16957870,7.3,"22 km ESE of Makubetsu, Japan",9/1/1905,142.089,45.309,255
ushis440,,"Los Angeles, California",9/3/1905,-118.3,34,
iscgem16957871,7.19,"5 km W of San Nicolò, Italy",9/8/1905,15.784,38.636,15
iscgem610548612,6.71,"254 km SW of Adak, Alaska",9/15/1905,-179.492,50.462,15
iscgem16957872,7.84,"off the east coast of the Kamchatka Peninsula, Russia",9/15/1905,163.952,55.751,15
iscgemsup16957873,6.9,"17 km NE of Taranagar, India",9/26/1905,75.157,28.784,20
iscgem16957874,7.16,"58 km ENE of Lospalos, Timor Leste",9/29/1905,127.465,-8.277,35
iscgem610326295,6.12,"15 km NE of Bobov Dol, Bulgaria",10/8/1905,23.143,42.461,15
iscgem610548613,6.33,"55 km N of Falmouth, Jamaica",10/16/1905,-77.755,18.989,15
iscgemsup16957875,6.37,"28 km N of Tqvarch'eli, Georgia",10/21/1905,41.664,43.096,15
iscgemsup610548614,5.6,"14 km W of Uchkulan, Russia",10/21/1905,41.916,43.469,15
eqh19051022000000000,3.3,"Near Newport, Vermont",10/22/1905,-72.2,44.9,
iscgemsup610548615,5.78,"30 km SE of Marmara Ereğlisi, Turkey",10/22/1905,28.183,40.761,15
iscgemsup16957876,7.2,"38 km SSW of Shimoda, Japan",10/24/1905,138.846,34.339,15
iscgemsup600208135,,"123 km SW of Cabo San Lucas, Mexico",10/25/1905,-110.711,22.063,15
iscgem16957878,7.24,Aegean Sea,11/9/1905,24.627,40.092,15
iscgemsup610548617,5.28,"10 km SE of Sárti, Greece",11/10/1905,24.078,40.037,15
uu19051111212600000,5.5,"Near Shoshone, Idaho",11/12/1905,-114.5,42.9,
iscgemsup610548618,5.45,"8 km NNE of Mándalo, Greece",11/18/1905,22.241,40.932,15
official19051122100000000,,"Near Valdez, Alaska",11/22/1905,-146,61,
iscgemsup610548620,5.2,"3 km WSW of Paduli, Italy",11/26/1905,14.847,41.159,15
iscgemsup603952288,6.8,"13 km NNE of Sincik, Turkey",12/4/1905,38.645,38.153,10
iscgem16957879,5.56,"6 km NNE of Şanlıurfa, Turkey",12/4/1905,38.83,37.216,15
ushis443,,"Kuskokwim River Basin, Alaska",12/8/1905,-160,61,
iscgem16957880,6.71,"76 km SSE of Adak, Alaska",12/10/1905,-176.193,51.247,35
iscgem610548621,6.8,"123 km NE of Cabatuan, Philippines",12/11/1905,125.858,13.445,15
iscgemsup16957881,6.96,Revilla Gigedo Islands region,12/17/1905,-108.557,18.32,10
iscgemsup610326412,,"2 km ENE of Rugvica, Croatia",12/18/1905,16.258,45.75,15
ushis445,5.8,"Near Bakersfield, California",12/24/1905,-118.8,35.3,
iscgem610326299,5.79,"4 km WNW of Sunja, Croatia",1/2/1906,16.521,45.386,15
uw19060102134500000,,"North of Colville, Washington",1/2/1906,-117.8,48.7,
iscgem610548622,6.58,"216 km WNW of Attu Station, Alaska",1/7/1906,170.1,53.418,35
official19060108001500000,4.1,"Near Manhattan, Kansas",1/8/1906,-96.51,39.21,
iscgem610326302,5.63,"10 km WNW of Bytča, Slovakia",1/10/1906,18.421,49.256,15
iscgem16957883,7.4,"50 km SSW of Ōyama, Japan",1/21/1906,138.025,34.175,300
iscgem610548623,6.45,"9 km NNW of Campbell River, Canada",1/24/1906,-125.314,50.088,15
official19060125203230000,6.2,"Near Flagstaff, Arizona",1/26/1906,-111.7,35.2,
iscgem610548624,6.93,"182 km SSE of Atka, Alaska",1/27/1906,-172.794,50.814,15
iscgem610548625,6.63,Santa Cruz Islands region,2/1/1906,169.99,-11.61,15
iscgemsup610548626,6.25,"121 km NNW of The Valley, Anguilla",2/17/1906,-63.499,19.231,15
iscgem16957885,7.3,"41 km ESE of Malango, Solomon Islands",2/19/1906,160.04,-9.899,15
iscgemsup610326305,,"66 km SSE of Tateyama, Japan",2/23/1906,140.25,34.473,15
iscgemsup610548627,6.51,east of the Kuril Islands,2/23/1906,151.885,44.362,15
iscgem610326306,6.25,"116 km ESE of Katsuura, Japan",2/24/1906,141.424,34.633,15
iscgemsup610548628,6.61,"10 km W of Dera Gopipur, India",2/28/1906,76.112,31.894,15
iscgem16957887,6.64,"78 km ESE of Xinyuan, China",3/2/1906,84.179,43.219,20
iscgemsup16957888,6.79,"228 km WSW of Burica, Panama",3/3/1906,-84.628,6.938,10
ushis449,4.5,"San Diego County, California",3/4/1906,-117,33,
iscgemsup610548629,5.93,Azores Islands region,3/9/1906,-23.277,42.51,10
iscgem610548631,6.64,southeast of the Loyalty Islands,3/10/1906,172.145,-23.336,35
iscgem610548630,6.76,southeast of the Loyalty Islands,3/11/1906,171.692,-21.86,35
iscgem610326308,6.64,"36 km E of Nobeoka, Japan",3/13/1906,132.052,32.56,30
iscgem16957889,6.89,"10 km NE of Pizitou, Taiwan",3/17/1906,120.51,23.56,10
iscgem610548632,6.26,"127 km NE of Olonkinbyen, Svalbard and Jan Mayen",3/19/1906,-6.135,71.708,15
iscgem16957892,6.13,"97 km ENE of Hengchun, Taiwan",3/26/1906,121.603,22.364,15
iscgemsup610548633,6.59,off the south coast of Australia,3/27/1906,118.428,-38.097,10
iscgemsup610548634,6.58,southeast of the Loyalty Islands,3/29/1906,172.204,-24.606,15
iscgem610548635,6.61,"132 km ESE of Iwaki, Japan",4/9/1906,142.318,36.723,35
iscgem16957902,7.29,"61 km NNW of La Paz, Mexico",4/11/1906,-110.436,24.684,15
iscgem16957904,6.99,"12 km N of Pizitou, Taiwan",4/14/1906,120.463,23.598,15
iscgem16957903,6.55,"19 km SSE of Douliu, Taiwan",4/14/1906,120.64,23.562,15
iscgemsup610548636,7.12,southeast of the Loyalty Islands,4/14/1906,171.324,-22.291,35
official19060418131226300_12,7.9,"The 1906 San Francisco, California Earthquake",4/18/1906,-122.55,37.75,11.7
ushis451,6.28,"The 1906 Imperial Valley, California Earthquake",4/19/1906,-115.5,32.9,
eqh19060419093000000,4.3,"Near Paisley, Oregon",4/19/1906,-120.6,42.7,
cdmg19060420041500000,4.3,"Near Fernley, Nevada",4/20/1906,-119.3,39.6,
iscgemsup610326310,5.77,"12 km NE of Gujō, Japan",4/21/1906,137.07,35.81,15
cdmg19060423091000000,6.4,"Northwest of Eureka, California",4/23/1906,-124.5,41,
iscgemsup610548637,,"53 km ESE of Caburan, Philippines",4/25/1906,126.055,5.661,100
iscgemsup610548638,6.5,"88 km NW of Hirara, Japan",5/2/1906,124.68,25.361,25
ushis453,,"Near Guerneville, California",5/2/1906,-123,38.5,
iscgem610326312,6.01,"24 km SE of Fukura, Japan",5/5/1906,134.891,34.093,35
iscgem610548639,6.16,"2 km S of Palca, Peru",5/5/1906,-69.965,-17.801,60
ushis454,,"Near Upper Lake, California",5/7/1906,-122.9,39.2,
ushis455,,"Near Upper Lake, California",5/7/1906,-122.9,39.2,
eqh19060508174100000,3.2,"Near Seaford, Delaware",5/9/1906,-75.7,38.7,
ushis456,3.7,Nebraska-South Dakota border,5/10/1906,-101.3,43,
eqh19060511061500000,3.8,"Near Petersburg, Indiana",5/11/1906,-87.2,38.5,
iscgem610548640,6.51,"10 km S of Mokokchūng, India",5/12/1906,94.522,26.228,35
iscgem610548641,6.49,"35 km W of Gorin, Russia",5/12/1906,136.164,51.242,15
official19060515012000000,,"Near San Francisco, California",5/15/1906,-122.55,37.75,
iscgemsup610548642,5.42,"116 km WSW of Lixoúri, Greece",5/16/1906,19.256,37.727,15
official19060517081800000,,"Near San Francisco, California",5/17/1906,-122.55,37.75,
official19060518042100000,,"Near San Francisco, California",5/18/1906,-122.55,37.75,
se19060521190000000,3.4,"Near Flora, Illinois",5/22/1906,-88.4,38.7,
uu19060524211000000,4.05,"Near Ogden, Utah",5/25/1906,-111.959,41.223,
